W,"state_1_value__fft_coefficient__attr_""angle""__coeff_39","state_1_value__fft_coefficient__attr_""angle""__coeff_81","state_1_value__fft_coefficient__attr_""angle""__coeff_97","state_1_value__fft_coefficient__attr_""real""__coeff_67",state_2_value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"state_2_value__fft_coefficient__attr_""angle""__coeff_12","state_2_value__fft_coefficient__attr_""angle""__coeff_57","state_2_value__fft_coefficient__attr_""angle""__coeff_99","state_3_value__fft_coefficient__attr_""abs""__coeff_93","state_3_value__fft_coefficient__attr_""angle""__coeff_14","state_3_value__fft_coefficient__attr_""angle""__coeff_44","state_3_value__fft_coefficient__attr_""angle""__coeff_62","state_3_value__fft_coefficient__attr_""angle""__coeff_77","state_3_value__fft_coefficient__attr_""angle""__coeff_9","state_3_value__fft_coefficient__attr_""real""__coeff_50","state_4_value__fft_coefficient__attr_""angle""__coeff_27","state_4_value__fft_coefficient__attr_""angle""__coeff_70","state_4_value__fft_coefficient__attr_""angle""__coeff_9","state_4_value__fft_coefficient__attr_""imag""__coeff_43","state_4_value__fft_coefficient__attr_""imag""__coeff_51","state_4_value__fft_coefficient__attr_""imag""__coeff_70",Class
65,-167.27117919921875,-84.49385070800781,-65.93963623046875,0.2259396016597747,0.004528772085905,-74.10188293457031,173.049072265625,131.48501586914062,0.6880607008934021,-176.21017456054688,152.9989776611328,-171.26866149902344,25.507787704467773,-64.99613189697266,-0.2758015692234039,18.681440353393555,38.048927307128906,-26.740121841430664,-0.0337458178400993,-0.0158134307712316,0.0072765103541314,0
58,6.610722064971924,-72.71363830566406,117.12721252441406,-0.0300679579377174,0.0970057696104049,-148.48495483398438,174.52772521972656,170.81396484375,0.447853147983551,118.38172912597656,-68.94583892822266,134.33819580078125,43.884559631347656,-74.92495727539062,0.003914940636605,-26.4605712890625,-8.53866958618164,-49.02749633789063,0.0234385598450899,0.0298256799578666,-0.0024296205956488,1
59,-25.75702476501465,-171.70387268066406,-4.951597213745117,-0.0112649202346801,0.1221580281853675,59.52442932128906,97.3451919555664,36.695220947265625,0.214958369731903,-175.9216766357422,99.1297378540039,-93.01016998291016,-138.6136474609375,23.888648986816406,0.0026817428879439,-164.22439575195312,147.83924865722656,150.16488647460938,0.0336795039474964,-0.0103379050269722,0.0073066521435976,0
57,-179.96011352539062,-170.5475311279297,110.31275939941406,-0.0223693754523992,0.0739467367529869,-8.694934844970703,77.39508056640625,60.31291961669922,0.0514116026461124,1.6466153860092163,12.078994750976562,-149.6009063720703,-74.1552734375,170.93788146972656,0.0234187543392181,-69.87940216064453,-118.65164184570312,-122.63319396972656,0.0011545692104846,-0.0105213923379778,-0.0184624828398227,0
68,-32.184505462646484,23.660524368286133,69.41470336914062,-0.1365996450185775,0.7604405283927917,-65.8963851928711,162.81491088867188,156.6276092529297,0.1793187111616134,155.46441650390625,-176.90139770507812,146.97000122070312,-57.57659530639648,104.4997100830078,-0.047846283763647,-137.70884704589844,133.4371795654297,88.87528991699219,0.0043042912147939,0.0201649963855743,0.010076361708343,1
64,-129.27151489257812,46.252891540527344,96.78076934814452,-0.1902409344911575,0.0174404401332139,-72.30253601074219,-117.61461639404295,177.6658477783203,0.0511211864650249,-107.85811614990234,-153.82571411132812,-118.45864868164062,-83.25342559814453,55.1223030090332,0.0364245027303695,-146.81858825683594,81.17731475830078,77.65982055664062,-0.0012698305072262,0.0083085233345627,0.0026230961084365,0
56,17.31001091003418,-174.62307739257812,117.62018585205078,0.2705839574337005,0.014659259468317,-152.4182586669922,140.19479370117188,147.67919921875,0.0370937064290046,55.75358200073242,25.552654266357425,-169.70639038085938,-25.66000938415528,24.661415100097656,0.0231416746973991,-143.15306091308594,149.4639892578125,-128.3462371826172,-0.0092804944142699,0.0069617233239114,0.0080214235931634,0
65,-170.12240600585938,-29.60570526123047,175.27731323242188,-0.0067352317273616,0.003119544358924,173.67510986328125,30.048812866210938,49.94663619995117,0.3033558428287506,-26.527660369873047,-118.92691040039062,58.82234191894531,129.76483154296875,-92.40623474121094,0.0814666524529457,13.16014575958252,13.451234817504885,54.42228317260742,0.0822589397430419,0.0085553973913192,0.0060516530647873,1
54,23.79172706604004,76.65867614746094,-78.74359130859375,-0.115708976984024,0.0184153355658054,-144.15536499023438,-118.3617172241211,19.42239570617676,0.8900701403617859,80.53707122802734,-47.61172103881836,-112.16888427734376,124.42292022705078,124.49876403808594,0.021085662767291,168.8282470703125,-11.29173755645752,72.77068328857422,-0.0060828910209238,0.0060886703431606,-0.001796355121769,1
43,-152.0109100341797,164.79083251953125,-44.33343124389648,0.0519094206392765,0.0575617626309394,48.754207611083984,169.78240966796875,82.18693542480469,0.2774645984172821,113.63102722167967,91.77252960205078,-97.35545349121094,-33.59488677978516,-36.38449096679688,0.0047459648922085,15.931824684143066,-18.455062866210938,74.51131439208984,0.0077109900303184,0.0034632529132068,-0.0049934545531868,1
