W,"seg3_state2_value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","seg3_state3_value__fft_coefficient__attr_""angle""__coeff_76","seg3_state3_value__fft_coefficient__attr_""angle""__coeff_95",seg3_state3_value__ratio_beyond_r_sigma__r_0.5,"seg3_state4_value__fft_coefficient__attr_""angle""__coeff_96","seg4_state1_value__fft_coefficient__attr_""angle""__coeff_28","seg4_state1_value__fft_coefficient__attr_""angle""__coeff_81","seg4_state2_value__fft_coefficient__attr_""angle""__coeff_99","seg4_state3_value__fft_coefficient__attr_""angle""__coeff_44","seg4_state3_value__fft_coefficient__attr_""imag""__coeff_78","seg4_state4_value__fft_coefficient__attr_""angle""__coeff_43","seg4_state4_value__fft_coefficient__attr_""imag""__coeff_51","seg5_state1_value__fft_coefficient__attr_""angle""__coeff_39","seg5_state2_value__fft_coefficient__attr_""angle""__coeff_32","seg5_state3_value__fft_coefficient__attr_""angle""__coeff_91","seg5_state3_value__fft_coefficient__attr_""angle""__coeff_92",seg5_state3_value__sum_of_reoccurring_data_points,seg5_state3_value__sum_of_reoccurring_values,"seg5_state4_value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2","seg6_state1_value__fft_coefficient__attr_""angle""__coeff_59",seg6_state2_value__lempel_ziv_complexity__bins_5,"seg6_state3_value__fft_coefficient__attr_""angle""__coeff_18","seg6_state3_value__fft_coefficient__attr_""real""__coeff_48",seg6_state3_value__index_mass_quantile__q_0.8,seg6_state3_value__index_mass_quantile__q_0.9,seg7_state1_value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"seg7_state1_value__fft_coefficient__attr_""angle""__coeff_22",seg7_state2_value__large_standard_deviation__r_0.1,"seg7_state4_value__fft_coefficient__attr_""angle""__coeff_16","seg7_state4_value__fft_coefficient__attr_""real""__coeff_36","seg8_state1_value__fft_coefficient__attr_""angle""__coeff_17","seg8_state1_value__fft_coefficient__attr_""real""__coeff_0",seg8_state1_value__sum_values,"seg8_state2_value__fft_coefficient__attr_""angle""__coeff_2","seg8_state4_value__fft_coefficient__attr_""angle""__coeff_17","seg8_state4_value__fft_coefficient__attr_""angle""__coeff_36","seg9_state1_value__fft_coefficient__attr_""imag""__coeff_84","seg9_state2_value__fft_coefficient__attr_""angle""__coeff_70","seg9_state3_value__fft_coefficient__attr_""angle""__coeff_57",seg9_state4_value__partial_autocorrelation__lag_7,Class
65,6.396697699528886e-06,3.197728157043457,12.21754550933838,0.2338709677419354,14.022597312927246,29.6513614654541,-84.49385070800781,131.48501586914062,152.9989776611328,-1.261008620262146,-132.94664001464844,-0.0158134307712316,59.427371978759766,-158.59341430664062,60.486289978027344,137.07716369628906,0.2554931640625,0.110260009765625,6.64922936266521e-06,37.69547271728516,0.1166666666666666,149.73663330078125,0.0039881952106952,0.8109756097560976,0.8975609756097561,0.054338801652193,-17.279571533203125,0.0,161.24488830566406,-0.0014750198461115,-100.59986114501952,-0.067352294921875,-0.067352294921875,-146.5620880126953,-141.63308715820312,173.45993041992188,-0.1736290603876114,-72.39421081542969,-105.19380950927734,-0.1652332473320185,0
58,-4.713605903816642e-06,-90.05224609375,-156.43124389648438,0.2661971830985915,38.672359466552734,-43.61420822143555,-72.71363830566406,170.81396484375,-68.94583892822266,-0.244361013174057,44.09946823120117,0.0298256799578666,0.2514967024326324,178.5514678955078,157.63223266601562,145.43453979492188,-0.065155029296875,-0.0240478515625,-1.2835200777772116e-06,134.0420379638672,0.0428571428571428,42.95840835571289,0.0222220867872238,0.803968253968254,0.8865079365079365,0.0859434232115745,-78.85636138916016,0.0,122.9260025024414,-0.0171032156795263,-65.99446868896484,-0.03680419921875,-0.03680419921875,50.196102142333984,109.732177734375,165.88323974609375,0.0490813478827476,-74.00736236572266,117.57684326171876,-0.0404645189175756,1
59,2.645677113832789e-06,106.43195343017578,-24.09575843811035,0.3569620253164557,50.25670623779297,87.91122436523438,-171.70387268066406,36.695220947265625,99.1297378540039,0.0421575829386711,61.45315933227539,-0.0103379050269722,-113.31475830078124,-142.5652618408203,-137.20150756835938,43.54101943969727,-0.00457763671875,0.013275146484375,5.991361831547692e-06,103.85363006591795,0.0967213114754098,-31.40925407409668,0.0044757751747965,0.813953488372093,0.8912790697674419,0.1101833805441856,65.57976531982422,0.0,142.5164794921875,0.0075244628824293,66.04689025878906,-0.024200439453125,-0.024200439453125,-153.4058380126953,-142.009033203125,-154.35385131835938,-0.0184619724750518,174.45156860351562,53.16918182373047,-0.1375370921684459,0
57,2.0788540950889e-06,-0.5435314774513245,39.570648193359375,0.4518292682926829,-93.26042175292967,178.34429931640625,-170.5475311279297,60.31291961669922,12.078994750976562,-0.0650716722011566,176.00086975097656,-0.0105213923379778,13.161267280578612,72.87981414794922,-177.1140899658203,24.65896797180176,-0.10308837890625,-0.032684326171875,-1.801775795229333e-07,-31.460811614990234,0.076771653543307,114.2815933227539,0.0326132625341415,0.8032051282051282,0.8852564102564102,0.039201159030199,43.68001174926758,0.0,-25.48431968688965,0.0082924822345376,-163.97622680664062,-0.05926513671875,-0.05926513671875,-176.0973358154297,-103.13121032714844,54.00648880004883,0.0778907015919685,-168.3750762939453,-144.04588317871094,-0.0689298379311638,0
68,-5.904684257984627e-06,-77.49127960205078,16.161012649536133,0.2050632911392405,49.57566452026367,-179.87350463867188,23.660524368286133,156.6276092529297,-176.90139770507812,-0.1394892334938049,48.31258392333984,0.0201649963855743,-31.58853530883789,-25.00901985168457,-155.942138671875,11.947797775268556,-0.071380615234375,-0.032196044921875,1.5003869293650496e-06,-93.37809753417967,0.0814102564102564,150.84002685546875,-0.0130509585142135,0.7597402597402597,0.9077922077922078,0.0104324836283922,-123.61139678955078,0.0,166.54559326171875,-0.0406377874314785,114.02357482910156,-0.12164306640625,-0.12164306640625,-24.196935653686523,128.96826171875,58.48072052001953,0.1808089315891266,163.166259765625,159.57264709472656,0.0123987662272109,1
64,-4.448784693522612e-06,163.5646209716797,50.93594741821289,0.3796875,64.22026062011719,-23.7805233001709,46.252891540527344,177.6658477783203,-153.82571411132812,-0.0002250373072456,-145.19020080566406,0.0083085233345627,155.07801818847656,135.58221435546875,-92.68478393554688,-80.45956420898438,0.011688232421875,0.00640869140625,2.015867039517616e-06,-126.94219207763672,0.125,128.56385803222656,-0.0445434302091598,0.7769230769230769,0.813076923076923,0.0550135448575019,37.95075607299805,0.0,136.13284301757812,0.0040217814967036,-70.1070556640625,-0.052337646484375,-0.052337646484375,2.8412790298461914,41.080810546875,54.366458892822266,0.1067956313490867,-172.16253662109375,-73.39257049560547,-0.1177122667914827,0
56,2.797211493543728e-07,-35.53745651245117,173.57798767089844,0.3651515151515151,25.7541732788086,-152.3839874267578,-174.62307739257812,147.67919921875,25.552654266357425,-0.3458476364612579,-34.084754943847656,0.0069617233239114,77.18292236328125,-53.75285720825195,-165.52110290527344,88.18302154541016,0.0419921875,0.0009765625,5.444335783977294e-06,-41.25653076171875,0.0722222222222222,60.9605712890625,0.0303110238164663,0.7761538461538462,0.8784615384615385,0.0659167617559433,165.46475219726562,0.0,70.20529174804688,-0.0238401964306831,-47.83259582519531,-0.03857421875,-0.03857421875,-107.22705841064452,11.21868133544922,99.6503677368164,0.1601393073797226,-149.80636596679688,178.0565643310547,-0.0692485526556748,0
65,-7.742782145214733e-06,23.14677619934082,149.60484313964844,0.1767123287671232,104.45855712890624,43.65986251831055,-29.60570526123047,49.94663619995117,-118.92691040039062,-0.3676182329654693,114.50762176513672,0.0085553973913192,-114.97590637207033,-42.98946762084961,170.90101623535156,154.08274841308594,-0.071380615234375,-0.019622802734375,3.879144969687332e-06,-50.95283889770508,0.043,113.82765197753906,0.0063097272068262,0.81,0.9014285714285716,0.1052978336811065,91.85514068603516,0.0,-4.285542011260986,-0.052003838121891,-88.78321075439453,-0.09002685546875,-0.09002685546875,-126.9015121459961,14.609346389770508,126.38460540771484,-0.0847849920392036,87.37506866455078,44.35218048095703,-0.1063776844386005,1
54,-1.513268330199935e-06,-176.94830322265625,-90.6974639892578,0.2194915254237288,-103.02794647216795,-0.3380671143531799,76.65867614746094,19.42239570617676,-47.61172103881836,0.0902352109551429,-33.35361099243164,0.0060886703431606,-92.5964813232422,35.41707229614258,-19.490381240844727,102.31397247314452,-0.004180908203125,0.00555419921875,1.462662112317048e-06,-11.46778964996338,0.0720588235294117,129.65097045898438,-0.0233010090887546,0.795,0.8925,0.0937118753790855,-51.14160919189453,0.0,49.85811233520508,-0.0002936256350949,-45.64552688598633,-0.04449462890625,-0.04449462890625,59.80213165283203,93.90618896484376,-44.08727645874024,0.0972437039017677,-133.63182067871094,88.98725128173828,-0.197619302785926,1
43,-1.3313913314050296e-06,-55.96831893920898,94.04412078857422,0.2514705882352941,-99.75395965576172,32.05548095703125,164.79083251953125,82.18693542480469,91.77252960205078,0.0009852979565039,142.6792755126953,0.0034632529132068,-65.33841705322266,37.720176696777344,169.5894317626953,-4.364384174346924,-0.172882080078125,-0.0404052734375,-3.827455543614633e-07,179.51675415039062,0.0720183486238532,67.27153015136719,-0.0047943694517016,0.7535714285714286,0.8657142857142858,0.4654368460178375,-45.80477142333984,0.0,-114.59124755859376,-0.0104367267340421,2.4506871700286865,-0.0450439453125,-0.0450439453125,-59.16053009033203,-82.66710662841797,6.495277404785156,-0.0620313286781311,-60.02554702758789,-114.61817169189452,-0.0647656073613145,1
