W,value__ar_coefficient__coeff_6__k_10,value__autocorrelation__lag_0,value__c3__lag_3,"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_63","value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_74","value__fft_coefficient__attr_""angle""__coeff_77","value__fft_coefficient__attr_""angle""__coeff_78","value__fft_coefficient__attr_""imag""__coeff_12","value__fft_coefficient__attr_""imag""__coeff_25","value__fft_coefficient__attr_""imag""__coeff_33","value__fft_coefficient__attr_""imag""__coeff_63","value__fft_coefficient__attr_""imag""__coeff_71","value__fft_coefficient__attr_""imag""__coeff_8",value__median,Class
65,1.9715391574461576,0.9999999403953552,6.452896883502035e-08,-0.000498479232192,-4.774665355682373,-9.000858306884766,-3.145423889160156,-4.019691467285156,10.803668022155762,6.822191715240479,0.0009350134641863,0.0029681054875254,0.0017549239564687,-0.0004670619964599,-0.0024009775370359,0.000623142987024,0.0,0
58,1.978464103905216,1.0,1.2516014002983413e-08,-0.0004377699224278,-35.45466995239258,30.9631576538086,171.27410888671875,-59.91098403930664,55.50324630737305,17.827341079711914,-0.0026727644726634,-0.0015264205867424,0.0003898317809216,-0.0020055312197655,-0.0002555581741034,-0.0005374031024985,-3.0517578125e-05,1
59,1.1095413402727727,1.0,6.218870307606039e-09,-0.0004399678146,-161.70040893554688,-98.45721435546876,53.46197891235352,-134.61590576171875,-140.27847290039062,32.99844741821289,0.0033874658402055,-0.0002967131440527,0.0011636343551799,-0.0009676669724285,-0.0031128139235079,0.0023807524703443,0.0,0
57,2.018722658302322,1.0,3.422445615797187e-08,-0.0005285769002512,-128.434814453125,68.09934997558594,141.4482421875,171.76712036132812,-161.47598266601562,-147.98960876464844,0.003196335863322,-0.0007076872279867,-0.0002513691724743,-0.0025751651264727,-0.0005946816527284,-0.0005382684175856,-3.0517578125e-05,0
68,2.0782077470238858,1.0,6.069238907002728e-07,0.0008745676022954,10.025382041931152,-8.515963554382324,-16.16352081298828,-2.6861395835876465,4.04062032699585,7.015076637268066,-0.002554872771725,-0.0003199811326339,-0.0006750798784196,0.0015928994398564,0.002577579813078,-0.0003528490196913,-3.0517578125e-05,1
64,0.6298906190898279,1.0,8.264459672169264e-10,-0.000128379673697,49.10257339477539,-2.201846122741699,-8.79749584197998,-41.55507659912109,-34.08086013793945,1.617886304855347,-0.0028044406790286,-6.041549568180926e-05,0.0009339816169813,0.0015508970245718,-0.0001691110519459,0.0030822902917861,-3.0517578125e-05,0
56,1.6439697500355572,1.0,9.444145376846792e-08,-0.0037006381899118,13.476353645324709,13.657278060913086,17.925329208374023,-2.422159433364868,9.366602897644045,-7.761574268341064,-0.0003168999392073,-0.0011764095397666,-0.0003033513494301,0.0023792022839188,-0.0026420515496283,0.0007465071394108,0.0,0
65,1.8366769176589224,1.0,5.122333490703569e-08,0.000589937204495,176.74322509765625,171.69522094726562,-158.09271240234375,163.31723022460938,-167.6030731201172,99.95174407958984,0.0023948163725435,0.0003696339845191,0.0002005865098908,3.479788210825063e-05,-0.0005930688348598,0.0012773224152624,-3.0517578125e-05,1
54,1.474958243082734,1.0000001192092896,1.974986396646728e-08,-0.0017458410002291,34.659889221191406,24.36155128479004,50.3049430847168,39.52006912231445,33.86763000488281,23.99885940551757,-0.0004931705188937,0.0012983308406546,0.0035224996972829,0.0021101031452417,0.001449269359,0.0017795130843296,-3.0517578125e-05,1
43,1.465129846164034,1.0,1.5306524936420372e-09,-0.0006490543601103,177.53945922851562,174.43519592285156,172.18287658691406,172.37254333496094,-179.5392303466797,-172.84146118164062,0.0006591691635549,-0.0012442930601537,0.001103198621422,0.0009731304598972,0.0013845263747498,-0.0034065665677189,-3.0517578125e-05,1
56,1.194812469938746,1.0,6.545163855342651e-10,-0.0006187233957462,-1.9131287336349487,-1.73974871635437,6.396175384521484,-3.1576836109161377,6.750644207000732,-4.886632919311523,6.358847895171493e-05,-0.0017263640183955,0.002980297897011,-0.0005359416827559,-0.0030459023546427,-0.0018769544549286,-3.0517578125e-05,0
79,1.7352028216249793,1.0000001192092896,1.1963741108900194e-08,0.0041181039996445,7.919981002807617,-4.831752300262451,-8.76129150390625,0.42483651638031,-6.208077907562256,-4.164825916290283,0.001566867227666,0.0012388613540679,0.0012080294545739,0.0016646896256133,-0.0033691152930259,-0.002198458649218,-3.0517578125e-05,1
