participant,segment,rms,zcr,amplitude_range,max_amplitude,min_amplitude,skewness,kurtosis
Participant_BPF_07,6,0.0034672446,0.1132568359375,0.22393799,0.09655762,-0.12738037,-1.2350013256072998,218.51662
Participant_BPF_07,7,0.0033856048,0.116357421875,0.215271,0.08963013,-0.12564087,-1.4485145807266235,211.68913
Participant_BPF_07,8,0.0039179977,0.10989990234375,0.24938965,0.1053772,-0.14401245,-1.7230154275894165,244.89767
Participant_BPF_07,9,0.0040361043,0.1081787109375,0.2649536,0.11697388,-0.14797974,-1.3347147703170776,261.41037
Participant_BPF_08,3,0.0062709437,0.0914794921875,0.28567505,0.1343689,-0.15130615,-0.5529996752738953,121.35505
Participant_BPF_08,4,0.0056658546,0.095458984375,0.25778198,0.11062622,-0.14715576,-0.893399178981781,107.084305
Participant_BPF_08,5,0.0046294867,0.0955810546875,0.20605469,0.0874939,-0.11856079,-0.7195395231246948,76.76058
Participant_BPF_08,6,0.0041579013,0.099267578125,0.081085205,0.036895752,-0.044189453,0.23565229773521423,16.194883
Participant_BPF_08,7,0.00433377,0.10491943359375,0.09906006,0.062164307,-0.036895752,0.5572972893714905,19.226198
Participant_BPF_08,8,0.0043158373,0.10084228515625,0.115600586,0.062164307,-0.05343628,0.500863254070282,23.117596
Participant_BPF_08,9,0.003651044,0.097119140625,0.10671997,0.05328369,-0.05343628,0.3171306550502777,24.17905
Participant_BPF_09,3,0.0031366113,0.1045166015625,0.16809082,0.079589844,-0.08850098,-0.5275900959968567,152.00642
Participant_BPF_09,4,0.0030488656,0.1026611328125,0.14013672,0.060760498,-0.07937622,-1.1365845203399658,143.36069
Participant_BPF_09,5,0.0029507354,0.1033203125,0.14013672,0.060760498,-0.07937622,-1.0512281656265259,137.17801
Participant_BPF_09,6,0.0021906092,0.1023681640625,0.08569336,0.040496826,-0.045196533,-0.19762372970581055,54.096546
Participant_BPF_09,7,0.0020618646,0.100341796875,0.08908081,0.04083252,-0.04824829,0.07464565336704254,62.151756
Participant_BPF_09,8,0.0025797212,0.10135498046875,0.1802063,0.08404541,-0.09616089,-0.7913665771484375,256.39276
Participant_BPF_09,9,0.0026735298,0.10465087890625,0.1802063,0.08404541,-0.09616089,-0.8093240261077881,249.54288
Participant_BPF_10,3,0.0031621405,0.12706298828125,0.12335205,0.05609131,-0.06726074,-0.3706216812133789,62.595398
Participant_BPF_10,4,0.0026339733,0.1271728515625,0.10266113,0.057434082,-0.04522705,0.034969512373209,72.1406
Participant_BPF_10,5,0.0027224594,0.1245849609375,0.11279297,0.057434082,-0.055358887,-0.32557564973831177,80.85022
Participant_BPF_10,6,0.0023067903,0.12379150390625,0.10848999,0.053131104,-0.055358887,0.18918509781360626,98.55553
Participant_BPF_10,7,0.0020865675,0.1249755859375,0.08816528,0.053131104,-0.03503418,1.2141436338424683,72.853905
Participant_BPF_10,8,0.0024455679,0.1263916015625,0.11395264,0.05117798,-0.06277466,-0.22200363874435425,82.20054
Participant_BPF_10,9,0.0023474693,0.12490234375,0.11395264,0.05117798,-0.06277466,-0.23672418296337128,89.59666
Participant_BPF_11,3,0.002159651,0.10504150390625,0.1279602,0.065826416,-0.06213379,0.7908433675765991,217.97102
Participant_BPF_11,4,0.0019536507,0.106982421875,0.12844849,0.06594849,-0.0625,1.1717405319213867,291.8956
Participant_BPF_11,5,0.0018970177,0.11346435546875,0.12844849,0.06594849,-0.0625,1.3151171207427979,246.99568
Participant_BPF_11,6,0.0015354473,0.11893310546875,0.085998535,0.046783447,-0.039215088,1.6355702877044678,155.76453
Participant_BPF_11,7,0.0011179844,0.1194580078125,0.043792725,0.022705078,-0.021087646,0.37595468759536743,66.04717
Participant_BPF_11,8,0.00086429145,0.1168212890625,0.043792725,0.022705078,-0.021087646,0.3808462619781494,120.359955
Participant_BPF_11,9,0.0006653891,0.11484375,0.015014648,0.007873535,-0.0071411133,0.17937029898166656,16.304888
Participant_BPF_12,3,0.0030709272,0.10128173828125,0.13027954,0.05203247,-0.07824707,-1.3287423849105835,81.860634
Participant_BPF_12,4,0.0030719598,0.10155029296875,0.13027954,0.05203247,-0.07824707,-1.5823825597763062,76.97054
Participant_BPF_12,5,0.0024419292,0.10638427734375,0.08621216,0.040008545,-0.046203613,-0.9650862812995911,51.209568
Participant_BPF_12,6,0.0026697144,0.11009521484375,0.12573242,0.053649902,-0.07208252,-1.5194458961486816,125.134415
Participant_BPF_12,7,0.003353831,0.1133056640625,0.12573242,0.053649902,-0.07208252,-0.8467926383018494,61.00943
Participant_BPF_12,8,0.0028617238,0.11435546875,0.088378906,0.0395813,-0.048797607,-0.6398916244506836,37.770275
Participant_BPF_12,9,0.0022078643,0.108740234375,0.12350464,0.05117798,-0.07232666,-2.591712713241577,159.69095
Participant_BPF_13,3,0.001404837,0.09283447265625,0.049072266,0.024230957,-0.024841309,-0.1879592388868332,59.95944
Participant_BPF_13,4,0.0011916452,0.09287109375,0.03753662,0.018066406,-0.019470215,-0.36649391055107117,49.484154
Participant_BPF_13,5,0.0012846736,0.0926025390625,0.06085205,0.032562256,-0.028289795,0.9929807186126709,112.36191
Participant_BPF_13,6,0.001258373,0.09232177734375,0.06085205,0.032562256,-0.028289795,1.1333609819412231,117.69325
Participant_BPF_13,7,0.00094062556,0.0934814453125,0.035186768,0.019989014,-0.015197754,0.2577848732471466,41.38759
Participant_BPF_13,8,0.00082683377,0.0923828125,0.02243042,0.012908936,-0.009521484,0.2355789840221405,20.408173
Participant_BPF_13,9,0.00079957384,0.08980712890625,0.02243042,0.012908936,-0.009521484,0.2682078182697296,18.72843
Participant_BPF_14,3,0.0013901176,0.11903076171875,0.041534424,0.021331787,-0.020202637,-0.1734352707862854,36.824387
Participant_BPF_14,4,0.001239257,0.11861572265625,0.041534424,0.021331787,-0.020202637,-0.10276169329881668,44.29025
Participant_BPF_14,5,0.00095885247,0.11217041015625,0.031433105,0.014007568,-0.017425537,-0.6594434976577759,52.333984
Participant_BPF_14,6,0.00076974166,0.1077880859375,0.029815674,0.012817383,-0.016998291,-0.5622826218605042,62.341827
Participant_BPF_14,7,0.00085863005,0.11085205078125,0.050720215,0.027069092,-0.023651123,0.7095919251441956,187.24794
Participant_BPF_14,8,0.00088062807,0.12275390625,0.050720215,0.027069092,-0.023651123,0.6461504697799683,170.16335
Participant_BPF_14,9,0.0007542047,0.11893310546875,0.02142334,0.0113220215,-0.010101318,0.20842941105365753,29.945877
Participant_BPF_15,3,0.003963051,0.10084228515625,0.21105957,0.089019775,-0.122039795,-1.352136492729187,131.84538
Participant_BPF_15,4,0.0054911636,0.0975830078125,0.23547363,0.111846924,-0.12362671,-0.6178291440010071,75.210556
Participant_BPF_15,5,0.004700232,0.088671875,0.23547363,0.111846924,-0.12362671,-1.2610386610031128,121.51522
Participant_BPF_15,6,0.003939964,0.091796875,0.19744873,0.08886719,-0.10858154,-0.9066024422645569,103.370964
Participant_BPF_15,7,0.0033165454,0.09368896484375,0.11941528,0.061920166,-0.057495117,-0.13113819062709808,33.501736
Participant_BPF_15,8,0.002491748,0.09228515625,0.0552063,0.023254395,-0.031951904,-0.5865738987922668,21.068867
