participant,segment,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectrum_skewness,spectrum_kurtosis
Participant_BPF_01,3,140.57567756820845,86.79982749415224,216.552734375,0.0009305974,2.9881365299224854,10.311388
Participant_BPF_01,4,135.789629492575,86.41284582478663,207.666015625,0.0011275854,3.0302088260650635,10.126452
Participant_BPF_01,5,133.0985921985902,85.85398211013367,206.103515625,0.0009176976,2.9874284267425537,9.797406
Participant_BPF_01,6,140.2574086817931,93.44528566515187,217.333984375,0.002527013,2.968127727508545,10.41115
Participant_BPF_01,7,139.38580562616443,93.16331019996296,218.06640625,0.0023322783,3.2346322536468506,13.272388
Participant_BPF_01,8,134.51805652061242,89.5939299238211,207.7392578125,0.002222373,3.285724401473999,12.631534
Participant_BPF_01,9,130.62959408232993,87.1487841371816,199.7802734375,0.0008998041,3.3598315715789795,13.413809
Participant_BPF_02,3,150.15143396934224,87.02328117778202,230.8349609375,0.0007232573,2.846933603286743,8.781718
Participant_BPF_02,4,152.72760965863677,89.73588187594095,236.7431640625,0.0009760981,2.8513407707214355,9.117447
Participant_BPF_02,5,147.00064826149614,92.54043069590239,232.177734375,0.0009923326,3.3407866954803467,14.722809
Participant_BPF_02,6,141.6151962320284,94.78204579198773,223.779296875,0.001257034,3.4671640396118164,15.605698
Participant_BPF_02,7,141.3825886441487,93.51562192978933,226.0498046875,0.0010631155,3.342341661453247,13.955231
Participant_BPF_02,8,147.00438135129153,96.74217221199987,237.6953125,0.0016038101,3.8433852195739746,19.134289
Participant_BPF_02,9,150.9528604379671,98.36031552335683,248.9501953125,0.0011605792,3.863980293273926,20.355623
Participant_BPF_03,3,137.28926974172288,94.40081014788299,208.2763671875,0.000990657,3.259305715560913,12.917444
Participant_BPF_03,4,135.82790955337077,93.29985039426533,207.666015625,0.000919829,3.6700034141540527,17.183975
Participant_BPF_03,5,130.80523195426113,94.42657169669789,200.4150390625,0.0009163728,4.282555103302002,24.419426
Participant_BPF_03,6,136.4701568719011,106.28436783166016,218.798828125,0.0017788246,5.192394256591797,35.395206
Participant_BPF_03,7,139.0594971368646,110.02144162602285,226.416015625,0.0016836468,5.022205352783203,32.138584
Participant_BPF_03,8,132.80553589752884,107.13070768276361,205.6884765625,0.0016260361,4.8311076164245605,29.491894
Participant_BPF_03,9,131.74780952144286,104.59586140089255,201.171875,0.0014234735,4.55207633972168,26.146233
Participant_BPF_04,3,158.42385397528884,99.98978062864622,252.3681640625,0.0015646757,2.4672062397003174,6.5466423
Participant_BPF_04,4,157.21013290959536,96.77477569108083,248.3642578125,0.0013222088,2.511805295944214,6.773922
Participant_BPF_04,5,154.10946451243234,96.31824748473072,244.140625,0.0011208825,2.631058931350708,7.687999
Participant_BPF_04,6,148.46470506636047,98.06650274720955,239.404296875,0.0011422413,2.86031174659729,10.054039
Participant_BPF_04,7,151.9656970555277,102.2367911329167,247.8759765625,0.0016156428,2.8127148151397705,9.008659
Participant_BPF_04,8,150.59455981269056,106.70087831754373,245.751953125,0.001989989,2.7636592388153076,9.189795
Participant_BPF_04,9,145.67249157912548,104.35144048064512,233.203125,0.0018764607,3.2359986305236816,13.091352
Participant_BPF_05,3,156.2268626344725,90.02387644873674,236.9384765625,0.00092650217,2.1997179985046387,4.5196047
Participant_BPF_05,4,169.4456682329862,99.39657409508068,263.0126953125,0.0023041344,2.1220362186431885,4.246962
Participant_BPF_05,5,157.96578465333687,92.74730499599816,244.9951171875,0.0010197684,2.254779815673828,5.1941643
Participant_BPF_05,6,150.37574383315481,89.96785518096002,231.591796875,0.0012030897,2.422775983810425,5.786498
Participant_BPF_05,7,144.32160296316687,89.74648661689324,225.0732421875,0.0009314936,2.421015739440918,5.888628
Participant_BPF_05,8,135.723569805961,86.82765128574754,211.9873046875,0.0008857072,2.935216188430786,10.182631
